key,alt,answer
生物,"shēngwù (生物, 生物)","living thing, organism"
中華民國,"zhōnghuámínguó (中華民國, 中华民国)","Republic_of_China, Republic of China"
直到,"zhídào (直到, 直到)","until, up to"
叫,"jiào (叫, 叫)",ask
氣,"qì (氣, 气)","air, gas, smell, atmosphere, spirit"
給予,"gěiyǔ (給予, 给予)","bring, feed, offer, afford, hold_out, impart, adduce, lend, grant, contribute, given, concede, give to, give, bestow, add, put, render, deal, ladle, administer, assign, give_in, allow"
中文,"zhōngwén (中文, 中文)","Chinese, Ch. written language, Ch. language, Sinitic"
法國,"fàguó (法國, 法国)",France
答案,"dáàn (答案, 答案)","result, script, resolution, solution, answer, key"
規定,"guīdìng (規定, 规定)","provide, formulate, fix, set"
金融,"jīnróng (金融, 金融)","finance, banking"
週,"zhōu (週, 週)",m.[standard]
下,"xià (下, 下)","put sth. into, apply, form opinion/etc."
農民,"nóngmín (農民, 农民)","mujik, farmhand, granger, boor, farm worker, peasantry, countrymen, farmer, agriculture, husbandman, muzhik, peasant, fieldhand, moujik, fellah, muzjik"
法令,"fǎlìng (法令, 法令)","constitution, laws, ordinance, rescript, act, law, decretal, legislation, enactment, edict, law and decrees, regulation, ukase, decrees, decree, doom, ordonnance, statute, fiat, prescript, assize, commandment, legislative act"
訊息,"xùnxí (訊息, 讯息)","communication, message, news, signal, info, data, intelligence, dispatch, information, messages, tidings, word"
公里,"gōnglǐ (公里, 公里)",m.[standard]
剛剛,"gānggāng (剛剛, 刚刚)","just now, scarcely, fresh, only, exactly, a moment ago, hardly, but, just"
紅,"hóng (紅, 红)","in vogue, famous, redden, red, popular"
較,"jiào (較, 较)",compare
聲,"shēng (聲, 声)",m.[activity]
倍,"bèi (倍, 倍)","fold, multiplication, diameter, double, times, twice as much"
加,"jiā (加, 加)","dramatise, plant, embroider, intercalate, lard, put in, blow up, inflict, deliver, aggrandize, plus, dramatize, increase, augment, embellish, augmentation, confer, append, add, pad, summate"
民主,"mínzhǔ (民主, 民主)","democracy, democratic rights"
臺北,"táiběi (臺北, 台北)","Taibei, Taipei"
無論,"wúlùn (無論, 无论)","conj.: no matter what/how/etc., regardless"
辦公室,"bàngōngshì (辦公室, 办公室)","agency, office, authority, government agency, bureau"
一方面,"yīfāngmiàn (一方面, 一方面)","conj.: on one side,  on the one hand...,  on the other hand...,  for one thing...,  for another..."
良好,"liánghǎo (良好, 良好)","good, well"
級,"jí (級, 级)","level, rank, grade"
遊戲,"yóuxì (遊戲, 遊戏)","recreation, game"
道,"dào (道, 道)","doctrine, Daoism"
酒,"jiǔ (酒, 酒)","libation, bracer, plonk, wine, tipple, poison, pottle, spirits, creature, vin, cup, drink, hooch, arrack, medicine, alcohol, bottle, hootch, alcoholic drink, rum, bibble, potation, belly wash, alcoholic beverage, Bacchus, booze, liquor, juice, fortifier, inebriant, lotion, intoxicant"
形象,"xíngxiàng (形象, 形象)","imagery, figure, form, picture, persona, image"
跑,"pǎo (跑, 跑)","travel, race, be away, escape, course, run errands, skirr, double, walk, be away/off, run away, be off, run about doing sth., run, drive, paw the earth, run about doing ..., ride, leg"
選擇,"xuǎnzé (選擇, 选择)",choice
導致,"dǎozhì (導致, 导致)","bring, lead, bring_about, lead to, incite, result in, conduce, bring about, produce, bring_on, render, set off, spark_off, inspire, inflict, cause, land"
提到,"tídào (提到, 提到)","mention, refer to"
氣氛,"qìfēn (氣氛, 气氛)","mood, air, look, feeling, aura, aurae, spirit, smell, genius loci, feel, flavor, atmosphere, tone, karma, ambiance, ambience"
動,"dòng (動, 动)","concuss, get moving, travel, go, use, eat or drink, act, arouse, stir, disturb, alter, touch, change, dynamic, locomote, move"
院士,"yuànshì (院士, 院士)",academician
指,"zhǐ (指, 指)",refer to
充分,"chōngfèn (充分, 充分)","full, ample, abundant"
現代,"xiàndài (現代, 现代)",modern
必要,"bìyào (必要, 必要)","necessary, indispensable"
生態,"shēngtài (生態, 生态)","ecological, ecosystem, biology, ecology, biota"
汽車,"qìchē (汽車, 汽车)","automotive vehicle, machine, wheels, motorcar, motor vehicle, car, automotive, auto, wheel, autocar, motor, automobile, hoot, mobile, bus"
例子,"lìzi (例子, 例子)","exemplification, example, representative, illustration, instance, piece, case"
有點,"yǒudiǎn (有點, 有点)","kind_of, pretty, more or less, fairly, a_little, rather, something, somewhat, a bit, to some extent"
博物館,"bówùguǎn (博物館, 博物馆)",museum
權力,"quánlì (權力, 权力)","influence, rod, authoritativeness, clutches, whip_hand, dominance, say so, reins, force, emirate, might, pretension, station, commission, grasp, leverage, danger, authority, place, power, arm, disposal, puissance"
族群,"zúqún (族群, 族群)","clan, race, tribe, group"
媽,"mā (媽, 妈)","a form of address for a married woman one generati, mummy, mum, mother, ma, mama, mam"
牆,"qiáng (牆, 墙)",wall
船,"chuán (船, 船)","bottom, body, ship, catcher, bow, bark, boat, shipboard, prow, watercraft, craft, drone, vessel, keel, sailer"
基金會,"jījīnhuì (基金會, 基金会)","monetary fund, fundation, foundation, fund"
詩,"shī (詩, 诗)","verse form, poem, canto, verse, rhyme, number, song, poesy, poetry"
雜誌,"zázhì (雜誌, 杂志)","journal, bulletin, mag, magazine, periodical"
生存,"shēngcún (生存, 生存)","live, exist"
且,"qiě (且, 且)",conj.:
天,"tiān (天, 天)","sky, heaven"
小孩子,"xiǎoháizi (小孩子, 小孩子)","dot, tyke, tiddler, pickaninny, child"
大樓,"dàlóu (大樓, 大楼)","mansion, massif, hall, block, manse, edifice, building, multi storied building, residence, mansion house"
最好,"zuìhǎo (最好, 最好)","had better, it would be best"
讀書,"dúshū (讀書, 读书)","read, study, attend school"
見到,"jiàndào (見到, 见到)","see, meet, perceive"
最佳,"zuìjiā (最佳, 最佳)","first rate, best, superlative, optimum"
出去,"chūqù (出去, 出去)","go_out, go/get out, get_out, go out, get out, go, exit"
想法,"xiǎngfǎ (想法, 想法)","view, stance, mentality, idea, notion, sentiment, judgment, construct, thought, opinion, conception, viewpoint, judgement, belief, mind set, what one has in mind, persuasion, perspective, concept, mind, impression"
幫,"bāng (幫, 帮)",help
醫生,"yīshēng (醫生, 医生)","Galen, MD, physician, Dr., medic, doc, hakeem, medico, Aesculapius, medical man, surgeon, leech, doctor"
堅持,"jiānchí (堅持, 坚持)","persist in, insist on"
創作,"chuàngzuò (創作, 创作)","creative work, creation"
廣場,"guǎngchǎng (廣場, 广场)","mews, agora, public square, concourse, carrefour, piazza, plaza, square, campus, place"
成員,"chéngyuán (成員, 成员)",member
留下,"liúxià (留下, 留下)","stay, leave behind, leave, allocate, devote, entail, stick, stay behind, leave_behind, stay put, stick around, remain"
森林,"sēnlín (森林, 森林)","woodsy, jungle, forest, sylva, woods, wood, timberland, woodland, bocage, forestry, timber, greenwood"
算,"suàn (算, 算)","consider, regard/count as"
顆,"kē (顆, 颗)","grain, m.[general], "
各,"gè (各, 各)","separately, differently"
男女,"nánnǔ (男女, 男女)",men and women
特性,"tèxìng (特性, 特性)","attribute, distinctive feature, tang, a character, appanage, a characteristic, nature, trait, differentiation, data, habit, lineament, shtick, tone, distinction, identity, property, characteristic, specificity, ring, specialty, hair, character, cast, idiosyncrasy, specific, diagnosis, chemistry, feature, peculiarity, quality"
影像,"yǐngxiàng (影像, 影像)","simulacrum, blip, mental image, picture, portrait, video, image"
遭,"zāo (遭, 遭)",by
強烈,"qiángliè (強烈, 强烈)","strong, intense, violent"
欸,"èi (欸, 欸)",mild exclamation/sigh
解釋,"jiěshì (解釋, 解释)","explain, interpret, analyze"
儘管,"jǐnguǎn (儘管, 尽管)","conj.: even though, despite"
主動,"zhǔdòng (主動, 主动)",on one's own initiative
演出,"yǎnchū (演出, 演出)","show, perform"
文章,"wénzhāng (文章, 文章)","nonsense, hidden meaning, writing, hidden, written material, article, implied meaning, essay, writings, literary works, patch, hidden/implied meaning"
理想,"lǐxiǎng (理想, 理想)","ideal, "
重大,"zhòngdà (重大, 重大)","great, major, crucial, weighty, whang, fatal, significant, grave"
腳,"jiǎo (腳, 脚)","foot, leg, base"
危險,"wéixiǎn (危險, 危险)","dangerous, perilous"
背景,"bèijǐng (背景, 背景)","context, circumstance, locale, background, ground, stage setting, mise en scene, groundwork, background knowledge, frame, milieu, backcloth, scene, setting, backdrop"
不少,"bùshǎo (不少, 不少)","not few, many"
唱,"chàng (唱, 唱)","cry, chant, chirm, tune, vocalize, call, sing"
即將,"jíjiāng (即將, 即将)","in a short time, promptly, on the point of, at once, instantly, pronto, immediately, shortly, without delay, tout de suite, right away, forthwith, presently, soon, in a few seconds, before long, straightaway, in a minute, about to"
大部分,"dàbùfèn (大部分, 大部分)","det.: most of,  the majority of"
通訊,"tōngxùn (通訊, 通讯)","communication, news report, newsletter"
越來越,"yuèláiyuè (越來越, 越来越)","more_and_more, more and more"
考試,"kǎoshì (考試, 考试)","examination, test"
學期,"xuéqí (學期, 学期)","school term, semester"
反,"fǎn (反, 反)","counter, revolt, rebel, oppose, combat"
心靈,"xīnlíng (心靈, 心灵)","psychical, mind, psyche, soul, spirit, mens, heart"
獲,"huò (獲, 获)","harvest, capture, obtain, get, catch, poll, be able to, reap, gather in, win"
既然,"jìrán (既然, 既然)","conj.: since, as, now that"
設,"shè (設, 设)","set up, found"
顧客,"gùkè (顧客, 顾客)","chap, client, shopper, correspondent, constituency, patronage, trade, market, guest, clientele, newspaperman, newspaperwoman, newswriter, pressman, customer agent, customer, business"
家人,"jiārén (家人, 家人)","relation, homefolk, inmate, kindred, household, relative, people, folks, kin, family members, family, kinsfolk, house"
組,"zǔ (組, 组)",m.[general]
紛紛,"fēnfēn (紛紛, 纷纷)","in droves, one_after_another, numerous and in great confusion"
提升,"tíshēng (提升, 提升)","promote, hoist, elevate"
搞,"gǎo (搞, 搞)","work, set up, work out, organize, cause, etc., produce a certain effect, secure, manage, get hold of, carry, produce, organization, generalized doing: do, start, get, do, be engaged in, generalized doing: work/manage/etc., make, generalized doing: do/work/manage/etc."
隨時,"suíshí (隨時, 随时)","whenever, whene'er, always, readily, whenever necessary, at all times, as occasion demands, at any time"
譬如,"pìrú (譬如, 譬如)","for example, such as"
子女,"zǐnǔ (子女, 子女)","sons and daughters, children"
確定,"quèdìng (確定, 确定)","find, determination, make a point, pin down, narrow down, corroborate, prove, jell, settle, express, ensure, clench, assure, confirm, decide firmly, see, certain, define, clinch, nail_down, ascertain, determinate, guarantee, nail down, insure, fix, nail, peg, sustain, state, stipulate, secure, make_sure, seal, make sure, verify, find out, affirm, determine"
公平,"gōngpíng (公平, 公平)","fair, just, impartial"
視為,"shìwéi (視為, 视为)","regard_as, deem, count, regard as, consider as, repute, look_on, regard/consider as, look_at, call, regard"
技巧,"jìqiǎo (技巧, 技巧)","technics, artifice, superior skill, acquisition, acquirement, cunning, trick, dexterity, accomplishment, mechanism, craft, craftsmanship, technique, artistry, handiwork, mastery, handicraft, finesse, attainment, sleight, skill, implement, execution, prowess, ingenuity, art, method, dish, mechanics, knack, cup of tea, management, bag, proficiency, address, facility, virtuosity, workman"
接著,"jiēzhe (接著, 接着)","next, immediately after"
畫,"huà (畫, 画)","painting, pictures"
領導,"lǐngdǎo (領導, 领导)","lead, exercise leadership"
小心,"xiǎoxīn (小心, 小心)","beware, watch_out, keep one's eyes skinned, keep one's eyes peeled, careful, cautious, be careful, see, watch, guard, ware, cautionary, keep one's eyes open, take care, look_out, look out"
主辦,"zhǔbàn (主辦, 主办)","sponsor, direct, direction, host, give"
探討,"tàntǎo (探討, 探讨)","inquire into, explore"
赴,"fù (赴, 赴)","repair, attendance, go, go to, come, seek, attend, betake"
回去,"huíqù (回去, 回去)","go_home, go_back, retrocede, go back, be back, go, return"
弟弟,"dìdì (弟弟, 弟弟)","brother, little brother, younger brother, cadet, little_brother, viscount"
風,"fēng (風, 风)","wind, common practice, custom, general mood, style, news, information"
小學,"xiǎoxué (小學, 小学)","primary school, elementary school"
興建,"xīngjiàn (興建, 兴建)","build, construct"
狀態,"zhuàngtài (狀態, 状态)","repair, form, lie, state of affairs , state of affairs, fix, status, going, plight, phase, condition, state, trimness, attitude, trim, shape, situation, posture, position, fettle, mode, predicament"
支援,"zhīyuán (支援, 支援)","backstop, support, side, help, patronize, root, stand by, bear, angel, hold out, back, see through, assist, assistance, sustain, back up"
還是,"háishì (還是, 还是)",conj.: or
治療,"zhìliáo (治療, 治疗)","treatment, cure"
衣服,"yīfú (衣服, 衣服)","clothes, wearing apparel, toggery, gear, tog, wear, bib and tucker, drapery, thing, dress, duds, vestment, wardrobe, clout, apparel, clothing, dud, wrapping, vesture, clobber, habit, robe, togs, livery, habilimentation, array, hull, garb, attire, attirement, stitch, rig, garment, raiment, wearable, dressing"
名字,"míngzi (名字, 名字)","first_name, forename, moniker, monaker, first name, monicker, cognomen, given name, name, patronymic, appellation"
參考,"cānkǎo (參考, 参考)","consult, refer to"
女孩,"nǔhái (女孩, 女孩)","babe, damosel, quiff, number, young lady, damoiselle, gal, little girl, missy, young woman, demoiselle, damsel, fille, baby, girl, miss, petticoat, child, female child, mouse, she, colleen, daughter, damozel, moppet"
男性,"nánxìng (男性, 男性)","brother, male, him, man, male sex, adult male, mankind, masculine, mother's son, masculinity"
教室,"jiàoshì (教室, 教室)","classroom, schoolroom"
太陽,"tàiyáng (太陽, 太阳)","Apollo, luminary, daystar, digit, sunlight, solar, sunshine, Phoebus, lamp, sun, Sol, fireball"
在,"zài (在, 在)",be at/in/on
口,"kǒu (口, 口)",m.[general]
陳,"chén (陳, 陈)",Surname
稱為,"chēngwéi (稱為, 称为)",call as
國民,"guómín (國民, 国民)","citizen, country, citizenry, a people, nationality, nation, folk, subject, people, nationals, national, commonwealth, son, land"
研討會,"yántǎohuì (研討會, 研讨会)","workshop, seminar, symposium"
飛機,"fēijī (飛機, 飞机)","aerocraft, airplane, machine, craft, aeroplane, ship, aero, avion, aeronef, plane, aircraft"
建築師,"jiànzhúshī (建築師, 建筑师)","surveyor, architect"
王,"wáng (王, 王)","Rex, ameer, king, prince, emeer, monarch, shah, emir, amir, Surname, sovereign, Wang"
究竟,"jiùjìng (究竟, 究竟)","actually, exactly, after all, in the end"
確實,"quèshí (確實, 确实)","really, certainly, truly, indeed"
公路,"gōnglù (公路, 公路)","trunk road, calzada, route, main road, highroad, highway, road, thoroughfare, causeway, chaussee"
至今,"zhìjīn (至今, 至今)","thus_far, up_to_now, until_now, so far, to this day, up to now, to date, hitherto, erenow"
天下,"tiānxià (天下, 天下)","rule, world, China, domination, everywhere under heaven"
考量,"kǎoliáng (考量, 考量)","consider, think"
管,"guǎn (管, 管)","run, manage, administer, have charge of, subject to discipline, bother about"
少數,"shǎoshù (少數, 少数)",det.: a few
判斷,"pànduàn (判斷, 判断)","judge, determine"
快,"kuài (快, 快)","soon, quickly"
扮演,"bànyǎn (扮演, 扮演)","play part of, play part of"
相對,"xiāngduì (相對, 相对)","be opposite, be face to face"
校方,"xiàofāng (校方, 校方)",school authorities
早已,"zǎoyǐ (早已, 早已)","already, since, long ago, long ago/since, long since"
讀者,"dúzhě (讀者, 读者)","audience, subscriber, reader"
大會,"dàhuì (大會, 大会)","synod, moot, conference, plenary meeting, congress, rally, plenum, mass meeting, plenary session"
工人,"gōngrén (工人, 工人)","navvy, hired man, operative, working person, laborer, shopworker, esne, working man, hired hand, worker, workpeople, workman, hand"
數量,"shùliàng (數量, 数量)","magnitude, scalar, aggregate, deal, measure, numerical quantity, measurement, sum, worth, amount, quantity, number"
材料,"cáiliào (材料, 材料)","making, aggregate, stuff, ingredients, food, ingredient, data, fodder, material, datum, stock, makings, data point, timber"
建議,"jiànyì (建議, 建议)","proposal, suggestion"
特徵,"tèzhēng (特徵, 特征)","impress, trait, hallmark, cachet, stamp, characteristic, speciality, cast, feature, characteristic marks, features, artistic style, touch, trademark, earmark, particularity, nature, genius, imprint, lineament, mold, shtick, distinction, specificity, physiognomy, idiom, signature, character, salience, diagnosis, syndrome, stigma, stylemark, signalment"
殺,"shā (殺, 杀)","abatement, fight at close quarters, killing, go into battle, burn, reduction, slaughter, burn of medicine , fight, smite, abate, massacre, diddle, reduce, weaken, liquidate, smash, kill, slay, smart"
算是,"suànshì (算是, 算是)","regard_as, considered to be"
革命,"gémìng (革命, 革命)",revolt
國人,"guórén (國人, 国人)","landsman, fellow countrymen, countryman, countrymen, compatriots"
魚,"yū (魚, 鱼)","paella, variegated carp, gudgeon, bighead, Yu, Surname, Argonaut, salmon, fish, catfish"
操作,"cāozuò (操作, 操作)","operate, manipulate"
統計,"tǒngjì (統計, 统计)",statistics
德國,"déguó (德國, 德国)","Deutschland, autobahn, FRG, Germany, German, Reich, Federal Republic of Germany"
顯然,"xiǎnrán (顯然, 显然)","evidently, manifestly, clear, visibly, plainly, plain, distinctly, clearly, patently, apparently, obviously"
信心,"xìnxīn (信心, 信心)","trustfulness, trustingness, confidence, belief, affiance, religion, feeling, fay, trust, positiveness, notion, reliance, religious belief, faith, hope, impression"
放棄,"fàngqì (放棄, 放弃)","depart, chuck up the sponge, scuttle, dispense with, throw in the towel, abort, throw in, flunk, foreswear, abnegate, pass, free, lay_down, abandonment, disclaim, part_with, pass_up, abdicate, release, ditch, abjure, jettison, waive, surrender, leave, give, recant, desert, give up, divest, yield, forswear, break, abandon, unguard, back_down, yield up, demit, relinquish, break_with, drop"
懂,"dǒng (懂, 懂)","have, comprehend, understanding, understand, compass, grasp, get the picture, glom, know, apprehend, twig, savvy, follow, make out, dig"
生活,"shēnghuó (生活, 生活)",live
分析,"fēnxī (分析, 分析)",analysis
忙,"máng (忙, 忙)","hurry, hasten"
建,"jiàn (建, 建)","establishment, erection, build, proposal, propose, set up, establish, found, advocate, erect, construction, construct"
一生,"yīshēng (一生, 一生)","lifetime, all, existence, life, throughout one's life, all one's life, career, all/throughout one's life"
黑,"hēi (黑, 黑)","black, dark, wicked, sinister, vicious, be greedy, extort"
小說,"xiǎoshuō (小說, 小说)","novel, offprint, fiction"
主席,"zhǔxí (主席, 主席)","chairwoman, presiding officer, president of organization, chair, chair of meeting"
政大,"zhèngdà (政大, 政大)",National Chengchi University
集團,"jítuán (集團, 集团)","population, aggregate, circle, clique, grouping, bloc, phalanx, group, knot, aggregation"
報名,"bàomíng (報名, 报名)","register, inscribe, enter, enroll, enrol, enter one's name, sign up, recruit"
著名,"zhùmíng (著名, 着名)","famous, celebrated"
道德,"dàodé (道德, 道德)","value orientation, value system, moral, code, moral principle, morals, morale, ethical motive, ethic, virtue, morality_play, morality, ethics, virtuousness, moral excellence"
哪裡,"nǎlǐ (哪裡, 哪里)",where
消失,"xiāoshī (消失, 消失)","disappear, vanish, dissolve"
經由,"jīngyóu (經由, 经由)","via, by way of"
前面,"qiánmiàn (前面, 前面)","front end, face, forepart, front, in front, ahead, preceding, above, fore, forgoing, frontage, obverse"
遇到,"yūdào (遇到, 遇到)","come across, run_into, receive, meet with, encounter, run into, meet, befall"
提,"tí (提, 提)","mention, refer to, promote, bring up"
心態,"xīntài (心態, 心态)","state_of_mind, state of mind, psychology"
集中,"jízhōng (集中, 集中)","concentrate, centralize, focus, put together"
建築物,"jiànzhúwù (建築物, 建筑物)","foundation, shebang, erection, superstructure, buildup, architecture, construct, construction, edifice, building, structure, place, tenement, property, house, fabric"
畫面,"huàmiàn (畫面, 画面)","frame, tableau, picture plane, picture, general appearance of a picture, picture_plane, appearance, TV screen, video"
定,"dìng (定, 定)",decide
甚,"shèn (甚, 甚)","muchly, extremely, very, bally, assai, more, what, more than , molto, greatly"
可惜,"kěxí (可惜, 可惜)","it's a pity, unfortunately, it's too bad"
把,"bǎ (把, 把)",m.[general]
醫學,"yīxué (醫學, 医学)","medicine, practice of medicine, medical science, leechcraft, physic, iatrology, medical"
輸入,"shūrù (輸入, 输入)","import, input"
百,"bǎi (百, 百)","cent, centum, century, hundred, det.: hundred"
型態,"xíngtài (型態, 型态)",format
道理,"dàolǐ (道理, 道理)","thread, principle, the right way, theory, reason, argument, sense, order, truth, rationality"
愈來愈,"yūláiyū (愈來愈, 愈来愈)","even more, more_and_more, more and more"
色彩,"sècǎi (色彩, 色彩)","hue, tincture, palette, tint, blazonry, leavening, tinct, grain, color, shade"
歌,"gē (歌, 歌)",song
現實,"xiànshí (現實, 现实)","reality, actuality"
婚姻,"hūnyīn (婚姻, 婚姻)","connubiality, wedlock, marital, union, marriage, married couple, matrimonial, match, man and wife, matrimony"
地球,"dìqiú (地球, 地球)","the earth/globe, globe, world, Earth, ball, terrene, earth, the globe, the earth"
指導,"zhǐdǎo (指導, 指导)","guide, direct"
架構,"jiàgòu (架構, 架构)","construction, framework"
進口,"jìnkǒu (進口, 进口)",import
論文,"lùnwén (論文, 论文)","disquisition, memoir, paper, discourse, theme, treatise, thesis, article, tractate, dissertation"
出國,"chūguó (出國, 出国)",go abroad from one's own country
商品,"shāngpǐn (商品, 商品)","article, product, merchandise, commodity, wares, ware, goods"
市長,"shìzhǎng (市長, 市长)","alcalde, city manager, mayor, portreeve, mayoral, civic leader, provost, civil leader, burgomaster"
分為,"fēnwéi (分為, 分为)","divide ... into, fall_into, divide into"
夢,"mèng (夢, 梦)",dream
以前,"yǐqián (以前, 以前)","langsyne, ago, in the past, formerly, prevenient, before, previously"
恐怕,"kǒngpà (恐怕, 恐怕)",perhaps
死亡,"sǐwáng (死亡, 死亡)",be dead/doomed
哥哥,"gēgē (哥哥, 哥哥)","big brother, elder brother, big_brother"
檔案,"dǎngàn (檔案, 档案)","data file, documentation, record, archive, archives, file, dossier"
滿意,"mǎnyì (滿意, 满意)","satisfy, well pleasing, pleased, satisfied"
滿,"mǎn (滿, 满)","det.: entirely,  wholly"
可愛,"kěài (可愛, 可爱)","lovable, likeable, lovely"
上海,"shànghǎi (上海, 上海)",Shanghai
休閒,"xiūxián (休閒, 休閒)",lie fallow
有趣,"yǒuqù (有趣, 有趣)","merry, fascinating, interesting, fun, amusive, comic, amusing"
職業,"zhíyè (職業, 职业)","metier, vocation, iceman, mystery, engagement, work, walk of life, employment, job, occupational group, ploy, craft, trade, avocation, employ, racket, pursuit, profession, situation, line, occupation, position, calling, walk_of_life, career, billet, duty, living, shop"
說法,"shuōfǎ (說法, 说法)","way of saying sth., wording, formulation, statement, version, argument"
英文,"yīngwén (英文, 英文)","English, English language , English language, English_language"
緊張,"jǐnzhāng (緊張, 紧张)",be nervous
預計,"yūjì (預計, 预计)","estimate, view, predict, expect, calculate in advance, anticipate"
兄弟,"xiōngdì (兄弟, 兄弟)",brothers
體系,"tǐxì (體系, 体系)","scheme, setup, system of rules, system, superstructure, cosmos, schema"
專案,"zhuānàn (專案, 专案)","case, special case for investigation"
孔子,"kǒngzǐ (孔子, 孔子)",Confucius
報導,"bàodǎo (報導, 报导)",report
一半,"yíbàn (一半, 一半)","det.: one half,  in part,  half"
疾病,"jíbìng (疾病, 疾病)","trouble, attack, evil, ailment, affection, misery, malfunction, complaint, infirmity, disease, ill, illness, malady, decline, sickness, condition"
其它,"qítā (其它, 其它)","det.: others, the rest, other, else"
外國,"wàiguó (外國, 外国)","foreign, foreign country, outland, outremer"
牠們,"tāmen (牠們, 牠们)",they animal
報紙,"bàozhǐ (報紙, 报纸)","paper, headliner, newspaper publisher, tabloid, copyreader, newspaper, rag, courant, newsprint, sheet, gazette, dailies"
狗,"gǒu (狗, 狗)",dog
協調,"xiétiáo (協調, 协调)","coordinate, harmonize, bring into line"
念,"niàn (念, 念)","study, read, attend school, think_of, read aloud, think of, miss"
哲學,"zhéxué (哲學, 哲学)","ism, philosophic, philosophical, philosophy, school of thought, doctrine"
碰到,"pèngdào (碰到, 碰到)","come across, run_into, encounter, come_across, run into, touch, run_across, meet"
提昇,"tíshēng (提昇, 提昇)","promote, hoist, elevate"
關於,"guānyū (關於, 关于)","about, with regard to, concerning"
同仁,"tóngrén (同仁, 同仁)","fraternity, fellow worker, confrere, brotherhood, colleague"
深入,"shēnrù (深入, 深入)","thorough, deep going"
漫畫,"mànhuà (漫畫, 漫画)","takeoff, cartoon, caricature"
資金,"zījīn (資金, 资金)","principal_sum, fund, bankroll, finance, coffer, ante, grubstake, munition, wherewithal, capital, working capital"
比較,"bǐjiǎo (比較, 比较)","compare, contrast"
作業,"zuòyè (作業, 作业)",work
想像,"xiǎngxiàng (想像, 想像)","imagine, ideate, suppose, picture, image, trow, envision, figure, dream, conceit, woolgather, conceive of, project, see, daydream, think, presume, envisage, stargaze, depicture, visualize, vision, feign, fancy, conceive, conjure_up, fantasy"
短,"duǎn (短, 短)","short, brief"
即可,"jíkě (即可, 即可)",then could do something
西,"xī (西, 西)","W, Spain, west, occident, due west, western"
相,"xiāng (相, 相)","each other, mutually"
位置,"wèizhì (位置, 位置)","positioning, site, stand, stance, about face, lie, locality, spatial relation, setting, situs, locus, slot, ubiety, station, location, emplacement, ubication, situation, niche, positional, position, place, seat"
錯,"cuò (錯, 错)","wrong, mistaken, bad, poor, confused, complex"
穩定,"wěndìng (穩定, 稳定)","stable, steady"
尋找,"xúnzhǎo (尋找, 寻找)","comb, locate, quest, search, scout, chase, reconnoiter, look_around, look_for, look, look for, find_out, pick, reconnoitre, prospect, hunt, seek, rummage, shop"
鳥,"niǎo (鳥, 鸟)","beak, caprimulgiform bird, jay, carinate bird, birdie, bird, carinate, chaffinch, flying bird, fowl"
系,"xì (系, 系)",department in a college
如此,"rúcǐ (如此, 如此)","so, such"
長大,"zhǎngdà (長大, 长大)","vegetate, be brought up, grow_up, maturate, grow, grow up, bulk, age, mature"
促進,"cùjìn (促進, 促进)","rush, help, step_up, advancement, progress, acceleration, subserve, encourage, facilitate, anticipate, accelerate, assist, fillip, expedite, advance, promotive, boost, further, provoke, hurry, redound, cultivate, induce, hasten, catalyze, speed, promote, contribute, impel, promotion, push, forward, stimulate, whet"
人文,"rénwén (人文, 人文)","letters, humanity, humanities"
衝突,"chōngtú (衝突, 冲突)","conflict, clash"
廚房,"chúfáng (廚房, 厨房)","office, cookery, cookhouse, kitchen, cookroom, but, caboose"
海外,"hǎiwài (海外, 海外)","oversea, overseas, abroad"
表演,"biǎoyǎn (表演, 表演)","perform, act, play, demonstrate"
再度,"zàidù (再度, 再度)","once again, anew, eftsoons, second time, again, a second time, once more/again, once more"
電信,"diànxìn (電信, 电信)","telegraphy, telecommunications, telecommunication, telecom"
反映,"fǎnyìng (反映, 反映)","reflect, mirror, make known"
北,"běi (北, 北)","atomic number 97, northward, north, berkelium, Bk, northern"
筆,"bǐ (筆, 笔)",m.[general]
近,"jìn (近, 近)",almost
障礙,"zhàngài (障礙, 障碍)","discouragement, bottleneck, clog, bar, encumbrance, embarrassment, malfunction, jam up, baffle, impediment, obstruction, rub, roadblock, stay, rubber, disturbance, balk, holdback, bunker, stymy, remora, obstacle, barrier, stumbling_block, hitch, handicap, lesion, hedge, snag, drawback, let, wall, crab, difficulty, penalty, hang up, facer, hindrance, hurdle"
焦點,"jiāodiǎn (焦點, 焦点)","focal point, point at issue, focal, focus, focal_point, central issue"
忽然,"hūrán (忽然, 忽然)",suddenly
到處,"dàochù (到處, 到处)","universally, everywhere, everyplace, far and near, about, around, far and wide, all_over, high_and_low, all over, throughout, high and low, far_and_near, passim, abroad, at all places"
植物,"zhíwù (植物, 植物)","vegetal, flora, herb, plant, grower, vegetable, plant life, vegetation, botanical, vegetive, dwarf, vegetative"
顯得,"xiǎnde (顯得, 显得)","seem, look, appear"
不一定,"bùyīdìng (不一定, 不一定)","not sure, maybe"
攝影,"shèyǐng (攝影, 摄影)",photography
隨,"suí (隨, 随)",v.2 right after v.1
概念,"gàiniàn (概念, 概念)","estimate, conception, view, intention, image, estimation, idea, notion, concept, construct, paradox, approximation, impression"
面積,"miànjī (面積, 面积)","area unit, area, superficies, superficial, acreage, expanse, surface_area, square_measure, surface area, content, space, square measure"
為何,"wèihé (為何, 为何)","why, for what reason"
